Natural Gas,Oil,Weather,Inflation,ValueofDollar,3MoOut,Oil_3_mo_proj,Oil_6_mo_proj,Oil_12_mo_proj,NG_3_mo_proj,NG_6_mo_proj,NG_12_mo_proj,Electricity
3.87,62.25,45.8,0.021,0.99825,0.9945,61.55,73.62,73.29,2.66,2.95,4.527,0.126
2.67,61.18,51.1,0.022,0.996416667,0.99275,61.55,73.62,73.29,2.66,2.95,4.527,0.126
2.69,60.68,63.3,0.024,0.994416667,0.990916667,61.55,73.62,73.29,2.66,2.95,4.527,0.124
2.8,63.5,61.6,0.025,0.992333333,0.987666667,67.07,73.62,73.29,2.95,2.95,4.527,0.132
2.8,66.16,79,0.028,0.99,0.985583333,67.07,73.62,73.29,2.95,2.95,4.527,0.133
2.97,62.8,85.7,0.029,0.987583333,0.98325,67.07,73.62,73.29,2.95,2.95,4.527,0.142
2.83,67,88.8,0.029,0.985166667,0.981083333,73.62,73.29,73.29,2.86,4.527,4.527,0.142
2.96,62.64,85.2,0.027,0.982916667,0.978666667,73.62,73.29,73.29,2.86,4.527,4.527,0.142
3,63.54,78.1,0.023,0.981,0.976416667,73.62,73.29,73.29,2.86,4.527,4.527,0.136
3.28,65.18,66.2,0.025,0.978916667,0.9755,73.29,73.29,73.29,4.527,4.527,4.527,0.136
4.09,55.65,52.5,0.022,0.977083333,0.973416667,73.29,73.29,73.29,4.527,4.527,4.527,0.136
4.04,47.63,48.4,0.019,0.9755,0.971583333,73.29,73.29,73.29,4.527,4.527,4.527,0.136
3.11,48,45.8,0.016,0.974166667,0.9715,57.22,53.42,55.47,2.805,2.44,2.315,0.141
2.69,52.6,50.2,0.015,0.972916667,0.970166667,57.22,53.42,55.47,2.805,2.44,2.315,0.141
2.95,57.46,55,0.019,0.971333333,0.968916667,57.22,53.42,55.47,2.805,2.44,2.315,0.142
2.65,63,66,0.02,0.969666667,0.966833333,53.42,53.42,55.47,2.44,2.44,2.315,0.142
2.64,59.73,73.4,0.018,0.968166667,0.965166667,53.42,53.42,55.47,2.44,2.44,2.315,0.142
2.4,54.34,79.9,0.016,0.966833333,0.963666667,53.42,53.42,55.47,2.44,2.44,2.315,0.142
2.37,56.47,84.6,0.018,0.965333333,0.962583333,55.1,55.47,55.47,2.29,2.315,2.315,0.142
2.22,53.63,87.4,0.017,0.963916667,0.961083333,55.1,55.47,55.47,2.29,2.315,2.315,0.142
2.56,55.14,85.5,0.017,0.9625,0.959666667,55.1,55.47,55.47,2.29,2.315,2.315,0.143
2.33,53.14,65.5,0.018,0.961,0.9575,55.47,55.47,55.47,2.315,2.315,2.315,0.142
2.65,54.96,53.5,0.021,0.95925,0.956,55.47,55.47,55.47,2.315,2.315,2.315,0.142
2.22,58.41,50,0.023,0.957333333,0.95425,55.47,55.47,55.47,2.315,2.315,2.315,0.142
2.02,56.55,50.3,0.025,0.95525,0.952083333,43.7,35.21,45.08,1.695,1.83,2.93,0.141
1.91,49.66,49.6,0.023,0.953333333,0.95,43.7,35.21,45.08,1.695,1.83,2.93,0.137
1.79,31.01,63.4,0.015,0.952083333,0.948083333,43.7,35.21,45.08,1.695,1.83,2.93,0.134
1.74,15.18,64.6,0.003,0.951833333,0.951083333,35.21,35.21,45.08,1.83,1.83,2.93,0.134
1.75,18.02,73.8,0.001,0.95175,0.950833333,35.21,35.21,45.08,1.83,1.83,2.93,0.136
1.63,33.81,81.9,0.006,0.95125,0.95075,35.21,35.21,45.08,1.83,1.83,2.93,0.136
1.77,37.44,85.7,0.01,0.950416667,0.94825,42.83,45.08,45.08,2.63,2.93,2.93,0.135
2.3,39.37,86,0.013,0.949333333,0.947416667,42.83,45.08,45.08,2.63,2.93,2.93,0.133
1.92,36.82,74.7,0.014,0.948166667,0.946333333,42.83,45.08,45.08,2.63,2.93,2.93,0.132
2.39,36.39,65,0.012,0.947166667,0.945166667,45.08,45.08,45.08,2.93,2.93,2.93,0.132
2.61,38.25,60.4,0.012,0.946166667,0.944166667,45.08,45.08,45.08,2.93,2.93,2.93,0.13
2.59,43.92,49,0.014,0.945,0.943166667,45.08,45.08,45.08,2.93,2.93,2.93,0.13
2.71,49.47,47.5,0.014,0.943833333,0.94025,61.95,67.06,67.01,2.83,3.04,4.62,0.131
5.35,56.44,41.1,0.017,0.942416667,0.939083333,61.95,67.06,67.01,2.83,3.04,4.62,0.131
2.62,60.43,61.4,0.026,0.94025,0.937666667,61.95,67.06,67.01,2.83,3.04,4.62,0.128
2.66,59.87,64.6,0.042,0.93675,0.92825,67.06,67.06,67.01,3.04,3.04,4.62,0.128
2.91,62.8,71.8,0.05,0.932583333,0.92475,67.06,67.06,67.01,3.04,3.04,4.62,0.128
3.26,68.58,82.1,0.054,0.928083333,0.920583333,67.06,67.06,67.01,3.04,3.04,4.62,0.129
2.84,70.12,84.7,0.054,0.923583333,0.914833333,68.55,67.01,67.01,4.403,4.62,4.62,0.133
4.07,65.68,85.1,0.053,0.919166667,0.910333333,68.55,67.01,67.01,4.403,4.62,4.62,0.144
5.16,69.09,80.5,0.054,0.914666667,0.905916667,68.55,67.01,67.01,4.403,4.62,4.62,0.152
5.51,78.51,72,0.062,0.9095,0.897666667,67.01,67.01,67.01,4.61,4.62,4.62,0.153
5.05,76.45,57.7,0.068,0.903833333,0.8925,67.01,67.01,67.01,4.61,4.62,4.62,0.153
3.76,70.56,61.3,0.07,0.898,0.886833333,67.01,67.01,67.01,4.61,4.62,4.62,0.154
4.38,80.33,45.8,0.075,0.89175,0.878,96.09,115.4,80.4,4.43,8.27,6.97,0.161
4.69,89.41,46.2,0.079,0.885166667,0.87175,96.09,115.4,80.4,4.43,8.27,6.97,0.162
4.9,107.07,58.8,0.085,0.878083333,0.865166667,96.09,115.4,80.4,4.43,8.27,6.97,0.162
6.6,103.34,69.5,0.083,0.871166667,0.856583333,115.4,115.4,80.4,8.27,8.27,6.97,0.162
8.14,108.29,77.9,0.086,0.864,0.849666667,115.4,115.4,80.4,8.27,8.27,6.97,0.164
7.7,113.77,86.1,0.091,0.856416667,0.8425,115.4,115.4,80.4,8.27,8.27,6.97,0.174
7.28,100.84,91.8,0.085,0.849333333,0.835666667,88.83,80.4,80.4,9.13,6.97,6.97,0.196
8.81,93.76,86.8,0.083,0.842416667,0.828583333,88.83,80.4,80.4,9.13,6.97,6.97,0.196
7.88,84.62,80.6,0.082,0.835583333,0.821666667,88.83,80.4,80.4,9.13,6.97,6.97,0.199
5.66,86.61,69.1,0.077,0.829166667,0.817833333,80.4,80.4,80.4,6.97,6.97,6.97,0.199
5.45,84.43,55,0.071,0.82325,0.811416667,80.4,80.4,80.4,6.97,6.97,6.97,0.183
5.53,76.45,50.7,0.065,0.817833333,0.8055,80.4,80.4,80.4,6.97,6.97,6.97,0.183
3.27,75.71,52.1,0.064,0.8125,0.803333333,76.85,67.6,77.78,2.884,2.25,3.82,0.178
2.38,74.32,52.4,0.06,0.8075,0.798,76.85,67.6,77.78,2.884,2.25,3.82,0.178
2.31,72.09,60.7,0.05,0.803333333,0.793,76.85,67.6,77.78,2.884,2.25,3.82,0.16
2.15,77.22,65.3,0.049,0.79925,0.792583333,67.6,67.6,77.78,2.25,2.25,3.82,0.159
2.15,76.66,75.6,0.04,0.795916667,0.7885,67.6,67.6,77.78,2.25,2.25,3.82,0.16
2.18,67.6,84,0.03,0.793416667,0.785166667,67.6,67.6,77.78,2.25,2.25,3.82,0.164